feature,importance
Checking Account Status,0.27647324995402955
Loan Duration,0.16439682374542317
Loan Amount,0.126462707307791
Credit History,0.08184637025874235
Savings Account,0.07579662909116408
Age,0.06858077611526325
Loan Purpose,0.03956087062540309
Other Installment Plans,0.02594535533592072
Guarantor Status,0.025824624687279377
Job Type,0.021982609833819618
Employment Duration,0.02155992196212137
Property / Assets,0.015434356025596063
Personal Status,0.014464364246011352
Installment Rate,0.014160727799918596
Housing Type,0.011694941273529713
Foreign Worker,0.010332797027762118
Years at Residence,0.0042013853998423365
Existing Credit Count,0.0012814893103820172
Dependents,0.0
Telephone Available,0.0
